Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020001_123021.FR,0.8457817,133.5915,27.491524,0,0,ART_2020001_124021.FR,9.226672
ART_2020001_124021.FR,1.0993363,130.1768,27.08474,0,0,ART_2020001_125021.FR,9.213699
ART_2020001_125021.FR,0.5800074,134.08246,26.722528,0,0,ART_2020001_130021.FR,9.2490015
ART_2020001_130021.FR,1.5181433,129.29349,26.395395,0,0,ART_2020001_131021.FR,9.276278
ART_2020001_131021.FR,1.2681813,137.27873,26.120338,0,0,ART_2020001_132021.FR,9.33279
ART_2020001_132021.FR,0.95719486,125.54874,25.906157,0,0,ART_2020001_133021.FR,9.449702
ART_2020001_133021.FR,0.53902876,122.75593,25.728096,0,0,ART_2020001_134021.FR,9.543176
ART_2020001_134021.FR,1.9827472,119.79268,25.570318,0,0,ART_2020001_135021.FR,9.666449
ART_2020001_135021.FR,1.565563,121.00267,25.435219,0,0,ART_2020001_140021.FR,9.827791
ART_2020001_140021.FR,1.8510249,117.26284,25.319872,0,0,ART_2020001_141021.FR,9.979251
ART_2020001_141021.FR,1.9747419,118.54764,25.219555,0,0,ART_2020001_142021.FR,10.151173
ART_2020001_142021.FR,2.1194234,115.91223,25.175638,0,0,ART_2020001_143021.FR,10.334118
ART_2020001_143021.FR,1.6405954,114.29713,25.22797,0,0,ART_2020001_144021.FR,10.560803
ART_2020001_144021.FR,0.2971835,111.823074,25.40387,0,0,ART_2020001_145021.FR,10.846695
ART_2020001_145021.FR,2.1706645,110.325424,25.765795,0,0,ART_2020001_150021.FR,11.219216
ART_2020001_150021.FR,0.0,109.47765,26.295149,0,0,ART_2020001_151021.FR,11.624402
ART_2020001_151021.FR,2.4018016,108.020004,26.839098,0,0,ART_2020001_152021.FR,11.970238
ART_2020001_152021.FR,1.9247614,110.36614,27.14124,0,0,ART_2020001_153021.FR,12.215747
ART_2020001_153021.FR,1.6262248,109.22164,27.091808,0,0,ART_2020001_154021.FR,12.279568
ART_2020001_154021.FR,2.4010866,107.96988,26.858864,0,0,ART_2020001_155021.FR,12.337903
ART_2020001_155021.FR,2.1233647,107.0009,26.690353,0,0,ART_2020001_160021.FR,12.382732
